순번_정류장ID,1-2802897,2-2802895,3-2802894,4-2802862,5-2802617,6-2802728,7-2802112,8-2802094,9-2801850,10-2802031,11-2801956,12-2806781,13-2801479,14-2800215,15-2800201,16-2800197,17-2800193,18-2800191,19-2800183,20-2800140,21-2803502,22-2807466,23-2803415,24-2805157,25-2805159,26-2805161,27-2805168,28-2805163,29-2805165,30-2803466,31-2806277,32-2803486,33-2803483
1-2802897,0,0.331753,0.600175,1.23021,2.6684729999999997,3.6994749999999996,4.62233,5.157293,5.818842,6.576549,7.209431,10.806008,12.115253000000001,12.915608,14.616753000000001,15.269344,15.788975,16.072206,16.938321000000002,18.106875000000002,19.249856,24.202876,30.097614999999998,32.268843,33.083594,33.605225,34.127753999999996,34.815034,35.226487999999996,35.647240999999994,36.527725999999994,37.52737499999999,38.63204399999999
2-2802895,,0,0.268422,0.8984570000000001,2.3367199999999997,3.3677219999999997,4.290577,4.82554,5.487089,6.244796,6.8776779999999995,10.474255,11.7835,12.583855,14.285,14.937591,15.457222,15.740453,16.606568,17.775122,18.918103,23.871122999999997,29.765862,31.937089999999998,32.751841,33.273472,33.796001,34.483281,34.894735,35.315487999999995,36.195972999999995,37.19562199999999,38.300290999999994
3-2802894,,,0,0.630035,2.068298,3.0993,4.022155,4.557118,5.218667,5.976374,6.609256,10.205833,11.515078,12.315433,14.016578,14.669169,15.1888,15.472031000000001,16.338146000000002,17.506700000000002,18.649681,23.602701,29.497439999999997,31.668667999999997,32.483419,33.00505,33.527578999999996,34.214859,34.626312999999996,35.047065999999994,35.927550999999994,36.92719999999999,38.03186899999999
4-2802862,,,,0,1.4382629999999998,2.469265,3.3921200000000002,3.927083,4.5886320000000005,5.346339,5.979221000000001,9.575798,10.885043000000001,11.685398000000001,13.386543000000001,14.039134,14.558765000000001,14.841996000000002,15.708111000000002,16.876665000000003,18.019646,22.972666,28.867404999999998,31.038632999999997,31.853384,32.375015,32.897543999999996,33.584824,33.996278,34.417030999999994,35.297515999999995,36.29716499999999,37.401833999999994
5-2802617,,,,,0,1.031002,1.953857,2.48882,3.150369,3.908076,4.540958,8.137535,9.44678,10.247135,11.94828,12.600871,13.120502,13.403733,14.269848000000001,15.438402000000002,16.581383000000002,21.534403,27.429142,29.600369999999998,30.415121,30.936752,31.459280999999997,32.146561,32.558015,32.978767999999995,33.859252999999995,34.85890199999999,35.963570999999995
6-2802728,,,,,,0,0.922855,1.457818,2.119367,2.877074,3.509956,7.106532999999999,8.415778,9.216133,10.917278,11.569868999999999,12.0895,12.372731,13.238846,14.4074,15.550381000000002,20.503401,26.398139999999998,28.569367999999997,29.384119,29.905749999999998,30.428278999999996,31.115558999999998,31.527012999999997,31.947765999999998,32.828250999999995,33.82789999999999,34.932568999999994
7-2802112,,,,,,,0,0.534963,1.1965119999999998,1.9542189999999997,2.5871009999999997,6.183677999999999,7.4929229999999984,8.293277999999999,9.994423,10.647013999999999,11.166644999999999,11.449876,12.315991,13.484545,14.627526000000001,19.580546000000002,25.475285,27.646513,28.461264,28.982895,29.505423999999998,30.192704,30.604157999999998,31.024911,31.905396,32.905045,34.009714
8-2802094,,,,,,,,0,0.6615489999999999,1.4192559999999999,2.052138,5.648714999999999,6.957959999999999,7.758314999999999,9.459459999999998,10.112050999999997,10.631681999999998,10.914912999999999,11.781028,12.949582,14.092563,19.045583,24.940322000000002,27.11155,27.926301000000002,28.447932,28.970461,29.657741,30.069195,30.489948000000002,31.370433000000002,32.370082000000004,33.474751000000005
9-2801850,,,,,,,,,0,0.757707,1.3905889999999999,4.987165999999999,6.296410999999999,7.096765999999999,8.797911,9.450501999999998,9.970132999999999,10.253364,11.119479,12.288033,13.431014000000001,18.384034,24.278773,26.450001,27.264752,27.786383,28.308912,28.996192,29.407646,29.828399,30.708884,31.708533000000003,32.813202000000004
10-2802031,,,,,,,,,,0,0.632882,4.229458999999999,5.538703999999999,6.339058999999999,8.040204,8.692794999999998,9.212425999999999,9.495657,10.361772,11.530326,12.673307000000001,17.626327,23.521065999999998,25.692293999999997,26.507044999999998,27.028675999999997,27.551204999999996,28.238484999999997,28.649938999999996,29.070691999999998,29.951176999999998,30.950826,32.055495
